,AD,AL,AT,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IS,IT,KZ,LI,LT,LU,LV,MC,MD,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,TR,UA
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,123.0,489.0,346.0,353.0,345.0,123.0,332.0,484.0,101.0,351.0,281.0,361.0,484.0,490.0,117.0,477.0,288.0,435.0,376.0,327.0,358.0,337.0,123.0,92.0,348.0,666.0,361.0,375.0,101.0,505.0,280.0,328.0,477.0,273.0,500.0,345.0,299.0,349.0,337.0,438.0,347.0,494.0,499.0,153.0,340.0,348.0
2,299.0,660.0,491.0,483.0,497.0,314.0,498.0,917.0,366.0,469.0,488.0,492.0,574.0,653.0,287.0,846.0,488.0,822.0,478.0,483.0,491.0,500.0,281.0,367.0,491.0,823.0,479.0,494.0,330.0,657.0,459.0,474.0,602.0,353.0,594.0,503.0,444.0,498.0,492.0,680.0,500.0,664.0,679.0,332.0,493.0,505.0
3,371.0,812.0,667.0,587.0,833.0,486.0,661.0,,488.0,584.0,676.0,670.0,822.0,836.0,474.0,917.0,594.0,917.0,578.0,735.0,664.0,672.0,479.0,574.0,737.0,917.0,587.0,663.0,479.0,826.0,582.0,669.0,731.0,483.0,917.0,678.0,593.0,664.0,662.0,853.0,917.0,830.0,830.0,484.0,659.0,678.0
4,480.0,917.0,825.0,678.0,917.0,828.0,833.0,,594.0,732.0,829.0,825.0,917.0,917.0,596.0,,739.0,,670.0,824.0,833.0,839.0,828.0,800.0,830.0,,817.0,825.0,732.0,917.0,733.0,834.0,819.0,580.0,,917.0,778.0,836.0,830.0,917.0,,917.0,917.0,589.0,830.0,917.0
5,560.0,,917.0,917.0,,917.0,917.0,,821.0,824.0,917.0,917.0,,,775.0,,825.0,,806.0,917.0,917.0,917.0,917.0,917.0,917.0,,917.0,917.0,823.0,,817.0,917.0,917.0,819.0,,,917.0,917.0,917.0,,,,,736.0,917.0,
6,835.0,,,,,,,,917.0,917.0,,,,,917.0,,917.0,,917.0,,,,,,,,,,917.0,,917.0,,,917.0,,,,,,,,,,827.0,,
7,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
