,density
US_AL,99.2
US_AK,1.3
US_AZ,62.9
US_AR,57.9
US_CA,253.7
US_CO,55.7
US_CT,744.7
US_DE,508.0
US_DC,11280.0
US_FL,401.4
US_GA,185.6
US_HI,226.6
US_ID,22.3
US_IL,230.8
US_IN,189.4
US_IA,57.1
US_KS,35.9
US_KY,114.1
US_LA,107.8
US_ME,44.2
US_MD,636.1
US_MA,901.2
US_MI,178.0
US_MN,71.7
US_MS,63.1
US_MO,89.5
US_MT,7.4
US_NE,25.5
US_NV,28.3
US_NH,153.8
US_NJ,1263.0
US_NM,17.5
US_NY,428.7
US_NC,214.7
US_ND,11.3
US_OH,288.8
US_OK,57.7
US_OR,44.1
US_PA,290.6
US_PR,959.6
US_RI,1061.4
US_SC,170.2
US_SD,11.7
US_TN,167.6
US_TX,111.6
US_UT,39.7
US_VT,69.8
US_VA,218.6
US_WA,115.9
US_WV,74.6
US_WI,108.8
US_WY,5.9
